och;and
hållbar;1. long-lasting- durable- 2. sustainable- 3. tenable- 4. [~ konsumtion] sustainable consumption
att begränsa;1. to enclose- to border- 2. to limit- to restrict- 3. [att ~ sig till] to restrict oneself to
ett sikte;1. a sight (what you can see)- 2. a sight on a weapon- 3. a view- an aim- 4. [land i ~!] land ahoy!
snygg;1. attractive- pretty- stylish- 2. [en ~ kille] a good-looking guy- a handsome man
kvinnlig;1. feminine- womanly- 2. [en ~ gärningsman] a female perpetrator- a female offender (not a loan word)
som vanligt;as usual
ett avstånd;1. a distance between two points- 2. an interval between two time points
att fly;to flee- to run away- to escape
betydande;1. significant- important- 2. large- sizable- considerable- 3. [en ~ risk] a significant risk
skyldig;1. guilty- 2. owing money- in debt- 3. obliged- duty bound
i övrigt;1. apart from that- 2. otherwise
en inflation;1. an inflation- 2. [att få ner ~en] to bring down inflation (loan word)
ett ben;1. a leg (of chair- animal etc)- 2. a bone- 3. a limb
en definition;a definition (loan word)
en uppmärksamhet;an attention
att ladda;1. to charge (batteries)- to load- 2. [att ~ ner] to download- 3. [att ~ upp] to upload
en jul;1. a yuletide- a Christmas- 2. [~afton] Christmas Eve- 3. [annandag ~] Boxing Day (26th December)
dåligt;1. badly- poorly- 2. [jag hör ~] I am hard of hearing- I can't hear very well
kommunal;1. municipal- 2. [ett ~val] an election of local government- a municipal election
att passera;1. to pass- to overtake- 2. to purée
en herre;1. a man- a gentleman- 2. [mina damer och ~ar] ladies and gentlemen
i fråga om;in the matter of- regarding- about- for- as to
ett klimat;1. a climate- 2. [ett ~ såsom vårt] a climate like ours- 3. [~förandring] climate change
var;1. every (used to express frequency) [~ tredje dag] every third day- every three days
en armé;an army (loan word from French)
lös;loose- unfastened
att prova;to try- to sample (i.e. food- clothes)
en egenskap;an attribute- a property- a characteristic
att rekommendera;to recommend (loan word)
liberal;liberal- in political sense (loan word)
en synpunkt;1. a point of view- 2. an attitude- 3. [ur juridisk ~] from a legal point of view
undan;1. away- 2. [att komma ~] to get away- to escape
angående;concerning- regarding- with reference (respect) to- as to- about (NOT: "beträffande" or "rörande")
unik;unique (loan word)
en präst;a priest
en webbplats;a website (i.e. a place on the world wide web)
en bostad;1. a home- a house- an apartment- a dwelling- a place where you live- 2. [det råder ~sbrist] there is a housing shortage
en vardag;a weekday- a workday- a "normal"- ordinary day
gratis;1. free of charge- 2. [~prover] free samples
att återkomma;to come back- to return
att bevisa;to prove
en anställd;an employee (under contract)
att förbjuda;to forbid- to prohibit
att uttala;to pronounce (in the sense of how words are said)
en investering;an investment (loan word)
att fira;1. to celebrate- 2. [att ~ jul] to celebrate Christmas
en försäljning;1. a sale- 2. [~steknik] sales technique- salesmanship- 3. [~ssiffror] sales figures
populär;popular (loan word)
en klubb;a club- an association (loan word)
en topp;1. a top- a peak- 2. (exclamation) [~en!] great! fantastic! super!
troligen;1. likely- 2. probably (hint: sth. which can be believed)- 3. [han kommer ~ inte] he is not likely to come- he probably won't come
en kompis;a buddy- a friend
att främja;to promote- to further
ett landsting;a county council
att undersöka;1. to examine (e.g. doctor)- to investigate (e.g. police)- to inspect- 2. to search- 3. to look into- 4. to research- to analyze- 5. to test
en kilometer;1. a kilometer- 2. [att köra i hundra ~ i timmen] to drive at a hundred kilometers an hour (loan word)
en reform;a reform (loan word)
att testa;to test (loan word)
konkret;concrete (loan word)
rakt;1. in a straight way- in a straight manner- 2. [fortsätta ~ fram] keep going straight on- keep straight on
uppenbarligen;obviously (ends in "n")
ju (...) desto;1. the (...) the- 2.  [~ förr ~ bättre] the sooner the better
socialdemokratisk;social democratic
en trupp;a troop
vart;whereto
en seger;a victory- a conquest
ett centerparti;a center party
en förlust;a loss- a defeat- a deficit
en själ;a soul
ett öde;a fate- a destiny
ett mord;a murder
ett dokument;a document (loan word)
att upphöra;1. to come to an end- 2. to cease- to stop- 3. to discontinue- 4. [att ~ att göra ngt] to stop doing sth.
ett folkparti;a people's party
kraftigt;strongly (not "starkt")
en middag;a dinner- a supper
att reagera;to react (loan word)
en hjärna;a brain
kulturell;cultural (loan word)
södra;southern- south
fast;1. though- although- 2. if- so long as (informal)
ett förtroende;1. a trust- a confidence- a faith (e.g. in another person)- 2. [själv~] self-confidence- self-reliance- 3. [vi har inget ~ för henne] we have no confidence in her
en förordning;1. an ordinance- a decree- 2. a regulation- 3. [kunglig ~] Royal Ordinance
en upphovsrätt;a copyright (not a loan word)
en skuld;1. a debt- 2. a guilt- 3. a blame
en professor;a professor (loan word)
inklusive;inclusive- including (loan word)
en beskrivning;a description
en lycka;1. a happiness- a luck- 2. [~ till!] Good luck!
en skrivning;1. a writing- a written test- 2.  [att köra på en ~] to fail a written test
ett yrkande;1. a claim- a demand- a request- 2. a motion (legal term)
kär;in love- dear
en äng;a meadow
att hänvisa;to direct- to refer
en buss;1. a bus- 2. [att åka ~] to go by bus- to take the bus- 3. [vilken turtäthet har den här ~en?] how often does this bus go?
norra;1. north- northern- 2. [~ ishavet] the Arctic Ocean
fullständigt;1. completely- 2. [att koppla av ~] to make a complete break from one's normal routine
en make;1. a husband- a spouse- a married man- 2. [sin blivande ~] her husband to-be- her future husband
antagligen;1. presumably- 2. probably (hint: "it can be assumed that ...")
ett plan;1. a plane (abbreviation of [ett flyg~]- 2. a level- a floor (in a building)- 4. [på ett högt ~] on a high level
en stil;a style (loan word)
ett förbund;1. an alliance (e.g.between countries)- 2. a federation- an association- 3. [Lärar~et] the Teachers' Association
en tolkning;an interpretation
utöver;1. in addition to- beyond- over and above- 2. [men ~ det] but apart from that- 3. [inget ~ det vanliga] nothing out of the ordinary
en syster;1. a sister- 2.  [min lilla~] my little sister- my younger sister- 3.  [min stora~] my big sister- my older sister
ett berg;a mountain
en motståndare;an opponent
höger;1. right (direction)- 2. [~hänt] right-handed
praktisk;practical (loan word)
ett beteende;a behaviour
ett bud;1. a command- 2. a message- 3. an offer- a bid- 4. a delivery- 5. a messenger- 6. [De tio ~orden- Tio Guds ~] (from Christian religion) The Ten Commandments
en träning;a (sports) training- practice- exercise (loan word)
vare sig;1. either- neither- 2. whether
ett äktenskap;a marriage
grov;1. coarse- rough (literally and metaphorically)- 2. [ett ~t fel a serious mistake- 3. [ett ~t brott] a heinous crime
uppe;1. up- upstairs- 2. at the top- 3. [han är ~] he’s awake- he’s up and about- 4. open (e.g. door)
ett inslag;1. a component- 2. an element- an aspect- a feature (not a loan word)
att förhindra;1. to prevent (often followed by a noun)- 2. [att ~ någon från att göra något] to prevent s.o. from doing sth.
en delning;1. a division- a sharing- 2. a partition- fission
en kapitalism;a capitalism (loan word)
en bilaga;1. an enclosure- an appendix- an attachment (letters- written documents)- 2. a supplement (newspaper)
tom;empty
en invånare;a resident- an inhabitant (not: "en boende")
en struktur;a structure (loan word)
en måndag;1. a Monday- 2. [i  ~s] last Monday- 3. [på ~] (used to refer to the present or future) on Monday- this coming Monday
aktuell;1. current- present- 2. topical- 3.  [det ~a läget] the current situation
någonsin;1. ever- 2. [aldrig ~] never ever
att tillåta;to permit- to allow
ett universitet;1. a university- 2. [att gå på ~et] to go to university
en konsekvens;1. a consequence- 2. (a) consistency- following things through to their logical conclusion- seeing things through (loan word)
ett ställe;1. a place- (a) stead- 2. a house- a restaurant- 3. a passage (in a piece of writing)- 4. [ett sommar~] a summer cottage- a second home
hård;hard
en majoritet;a majority (loan word)
en domstol;a court of law
en ordförande;a chairman- a president
en lördag;a Saturday
en låt;1. a song- usually referring to modern music- i.e a pop or rock song- also an instrumental- 2. [min favorit~] my favourite song
en herr;1. a gentleman- 2. [~ den och den] Mr What's-his-name
en sekvens;a sequence (loan word)
att förekomma;1. to happen- to occur- 2. to anticipate- to do something before someone else
att stoppa;1. to stop- to discontinue- to come to a standstill- 2. to be constipating- 3. to be enough- 4. to darn- to mend- 5. to fill sth. up with- 6. to put- to place
en nyhet;(a) news
en journalist;a journalist (loan word)
en kris;a crisis (loan word)
att rycka;to pull- to snatch
att trycka;1. to press- 2. to squeeze- 3. to weigh heavily (also figuratively)- 4. to be too tight- to pinch- 5. to print (on paper or cloth)
betydligt;considerably- significantly
att kosta;to cost
ett band;1. a tape- a band- a ribbon- a string- a conveyor belt- 2. [ett mått~] a tape measure- 3. a tie- a bond- a constraint- 4. a band- a gang- 5. a volume- 6. [att lägga ~ på (sig)] to restrain (oneself)
politiskt;politically (loan word)
ett sjukhus;1. a hospital- 2. [hon ligger på ~] she's in hospital
mer eller mindre;more or less
främsta;first- leading
djupt;deeply- profoundly
en visning;a viewing (e.g. of apartment)- a showing- an exhibition- a display
korrekt;correct (loan word)
bäst;best
gentemot;towards- against- vis-a-vis (not: "mot")
tack vare;thanks to
en aspekt;an aspect (loan word)
att godkänna;1. to approve (of sth.) to okay sth.- 2. to give someone a pass grade (education- school reports etc.)
felaktig;1. incorrect- wrong- 2. [på ~a grunder] for the wrong reasons- on the wrong grounds
en dialog;a dialogue (loan word)
en oro;1. a worry- a concern- 2. (an) unrest (social- political)- 3. a restlessness- nervousness
en vägg;1. an (interior) wall (in a building)- 2. a partition- 3. [det är som att tala till en ~] it's like talking to a wall
kinesisk;Chinese
ständig;constant (not a loan word)
ett tema;a theme (loan word)
en helhet;a whole- an entirety
en satsning;1. a commitment- 2. a bid- 3. a drive- venture- 4. an investment- 5. [att göra en ~ på något] to focus one's energies on sth.
en statistik;a statistics (loan word)
att beräkna;to calculate- to reckon- to compute
ett resonemang;a discussion- a reasoning (loan word from French)
ett förbud;a ban- a prohibition
en butik;1. a shop- 2. [en by~] a village shop- 3. [ett ~sbiträde] a shop assistant- a sales assistant
ytterst;uttermost- extremely
att förbli;1. to carry on being- to remain- 2. [att ~ ung- att ~ ogift] to stay young- to remain unmarried
tråkig;1. boring- 2. annoying- unpleasant- 3. unfortunate- sad
hemlig;1. secret- 2. [en ~ agent] a secret agent
andlig;spiritual- holy
beträffande;concerning- regarding- with reference to (used in subject line in formal letters)
till vänster;to the left (used for giving directions)
ett fartyg;a water-going vessel (generic term)
att flyga;to fly
att gifta sig;to marry
snäll;1. nice- kind: 2. [var ~ mot dig själv] be kind to yourself
en ränta;an interest- an interest rate
en proposition;a government bill (a proposal presented to parliament by the government)
en svårighet;a difficulty
en fart;1. a speed- a pace- a rate- 2. [i ~en] busy- active- on the go- 3. pep- verve- full of life and energy- 4. [full ~ framåt!] full speed ahead!
en tant;1. an older woman (informal- somewhat negative)- 2. an aunt- 3. [~ig] frumpy- old-fashioned
berörd;1. affected- involved- 2. concerned- mentioned- 3. [alla ~a parter] all parties concerned
en avsikt;an intention (not a loan word)
frisk;1. healthy- 2. (idiom) [~ som en fisk] fit as a fiddle- 3. [att hämta lite ~ luft] to get a bit of fresh air
en opposition;a (political) opposition (loan word)
härlig;lovely- delightful
ett intryck;1. an impression- 2. [att göra ett gott ~] to make a good impression
en visa;1. a (folk) song- a ballad- 2. [samma gamla ~] same old story- 3. [vagg~] lullaby- 4. [barn~] nursery rhyme- children's song
duktig;1. good (at sth.)- skilled- clever- 2. [att vara ~ i skolan] to be doing well at school
en dollar;a dollar (loan word)
längs;along- alongside (not: "utmed")
att fixa;1. to fix- to organize- set up- 2. [det ~r sig] it will be all right- 3. [att ~ sig] to get ready- make oneself look presentable- put make-up on (loan word)
en kollega;a colleague (loan word)
att inträffa;1. to happen- to occur (formal- often used with negative events)- 2. [olyckan ~de kl. 12] the accident occurred at 12pm
en sjukvård;a nursing- a medical care
att överleva;to survive
sannolikt;very likely- most likely- probably (hint: "it is likely to be the truth")
i första hand;importantly- primarily
ett meddelande;1. a message- 2. [att lämna ett ~ på telefonsvararen] to leave a message on the answering machine
ett näringsliv;a trade and industry- the world of business
att låna;1. to borrow- 2. [att ~ ut] to lend
en förståelse;1. an understanding- an appreciation- 2. a comprehension- 3. [läs~] reading comprehension
möjligen;possibly- perhaps (ends with "-en")
en fisk;1. a fish- 2. [frisk som en ~] fit as a fiddle
en konsument;a consumer (loan word)
att framhålla;to call attention to
en storlek;a size (clothing- shoes etc).
en telefon;1. a telephone- 2. [en ~svarare] an answering machine- 2. [när du pratar i ~ med dina föräldrar] when you are talking on the phone to your parents
ett kön;1. a sex- a gender- 2. [det motsatta ~et] the opposite sex
slut;1. over- finished- 2. used-up- all gone- sold out- 3. exhausted- extremely tired- 4. [arbetet tar aldrig ~] the work just never stops
att laga;1. to repair- to fix- to have sth. seen to- 2. [att ~ cykel] to repair a bike- 3. [att ~ mat] to cook- make- prepare food
en roman;a novel
ett lån;a loan
att likna;1. to be like s.o. else- to resemble- to look like- 2. to take after
att lita;1. to trust s.o.- to rely on s.o.- 2. [du kan ~ på mig] you can rely on me- you can trust me
en säng;a bed
en rädsla;1. a fear- a dread- 2. [utan ~ för diskriminering] without fear of discrimination- 3. [av ~ för kritik] for fear of criticism
övertygad;1. convinced- 2. [jag är ~ om att] I am convinced that
en skit;a shit
ett tänkande;(a) thinking- a thought
en arm;an arm
ett bruk;1. a use- 2. a usage- a custom- 3. a cultivation (of land): 4. a mill- a factory- 4. a mortar
en radio;1. a radio- 2. [att sätta på ~n] to turn on the radio- 3. [att stänga av ~n] to turn off the radio
att granska;1. to look at sth. very closely- to check- 2. to audit- 3. to review (e.g. a product)
i synnerhet;in particular- particularly
att bekräfta;to confirm- to acknowledge
ett väder;a weather
ett hinder;an obstacle- a hindrance
förut;1. previously- before- [veckan ~] the week before (not: "tidigare")
personligen;personally- in person (loan word)
en bana;1. a track (e.g. railway)- 2. a path- a way- 3. [en tunnel~] an underground railway- a subway
en reklam;an advertising- commercials- publicity (loan word from French)
en trafik;1. a traffic- 2. [kollektiv~] public transport (loan word)
ärlig;honest
allting;1. everything- all things- 2. [slutet gott- ~ gott] all's well that ends well
en artist;1. a singer- recording artist- 2. a comedian- a dancer- an actor- a magician (loan word)
ett bröd;1. a bread- 2. [hur förvarar färskt ~] how do you store fresh bread?
huruvida;whether
utsatt;1. fixed- appointed- marked- 2. exposed- vulnerable- 3. placed- 4. [på ~tid] at the appointed time
en ideologi;an ideology (loan word)
en representant;a representative (loan word)
ett tack;1. (a) thanks- 2. [~ ska du ha] thanks!
ett engagemang;1. a commitment- dedication- engagement (not in a marital sense)- 2. an involvement- a participation
finsk;Finnish
bekant;1. familiar- known- 2. [ett ~ ansikte] a familiar face
överallt;everywhere
ett gäng;a gang- a group of people
att träda;1. to step- to go- to enter- 2. [att ~ i kraft] to come into force
att sjunka;to sink
ett föremål;1. an object- a subject- a matter- a thing- 2. [ett vass ~] a sharp object- 3. [ett trubbigt ~] a blunt instrument
vad;1. how- 2. [~ tiden går!] how time flies! 3. [~ du har vuxit!] goodness me- haven't you grown?!?
en attack;1. an attack- 2. [en hjärt~] a heart attack- 3. [ett ~flygplan] a fighter bomber (loan word)
falsk;1. false- fake- not genuine- counterfeit- not real- forged- 2. [under ~t namn] under a false name
att representera;to represent (loan word)
ett miljöparti;a green party
en avgift;1. a fee- a charge- 2. [skol~] school fees
normalt;normally (loan word)
att motsvara;to correspond- to meet (expectations)
i allmänhet;in general
en översättning;a translation
seriös;serious (loan word from French)
omedelbart;1. immediately- 2. [~ före] immediately before- on the eve of- 3. [~ efter] immediately after (somewhat formal)
kraftig;1. powerful- 2. potent- 3. strong- 4. vigorous- 5. violent- hard- 6. substantial- rich- heavy- nutritious- 7. [en ~ haka] a strong chin
att uppskatta;1. to appreciate (in general sense)- 2. to estimate- to value
en kommitté;a committee (loan word)
att blanda;1. to mix- 2. to mingle- 3. to blend- 4. to shuffle (cards)- 5. (att ~ sig i ngt.) to interfere in sth.
ett blod;1. a blood- 2. [ett ~prov] a blood test- a blood sample
en högskola;a college- a university (not a loan word)
fritt;1. freely- 2. [det är ~ fram] you can go ahead- the green light has been given
en integritet;an integrity (loan word)
ett hår;a hair
ett organ;1. an organ in the body- 2. an agency- official body (loan word)
lycklig;1. happy- glad- 2. lucky- fortunate- 3. successful- prosperous- 4. [~ resa!] have a nice journey- have a great trip!- 5. [av en ~ slump] by a lucky chance- as luck would have it
ett misstag;1. a mistake- 2. [att göra ett ~] to make a mistake (not: "ett fel")
kvar;1. left- remaining- 2. [jag har inga pengar ~] I don't have any money left
ett träd;a tree
ett tak;1. a ceiling- a roof- 2. [att bo under samma ~] to live under the same roof
ett straff;1. a punishment- 2. a prison sentence
perfekt;perfect (loan word)
en överenskommelse;1. an agreement- a treaty- 2. a settlement
en kampanj;a campaign (loan word)
en grej;1. a thing- 2. [mina ~er] my stuff- my things (informal)
att åstadkomma;1. to achieve- to accomplish- 2. to bring about- to cause- 3. to make- to create
en budget;a budget (loan word)
en rygg;1. a back- 2. [jag har ont i ~en] I have backache- my back aches
gott;1. well- done in a good way- 2. [sov ~ !] sleep well!
en press;1. a press (print media)- 2. a printing press- 3. a citrus squeezer- (a) pressure
digital;digital (loan word)
att framstå;to come across as- to seem- to appear
ett verktyg;a tool- an instrument-  equipment
beroende på;depending on
ett betyg;1. a certificate- 2. a report card- 3. a testimonial- a reference- 3. a grade- a mark (e.g. for a test)
detsamma;the same (one) (neuter)
en start;1. a start (of a journey)- 2. a take-off- a departure- a launching (loan word)
att leverera;to deliver- to supply (not "att tillhandahålla")
en kompetens;1. a competence- 2. qualifications (loan word)
var och en;each- everyone (not: "varenda")
långsiktig;long-term
en vinter;a winter
att gripa;1. to grip- to seize- 2. to capture- to catch (e.g. a criminal)- 3. (figuratively) to move a person emotionally
en skyldighet;1. an obligation- a duty- 2. [en rättslig ~] a legal obligation
evig;eternal
en företrädare;1. a predecessor (one who 'trod before')- 2. a representative
etnisk;ethnic (loan word)
med andra ord;in other words
att njuta;to enjoy
att posta;1. to post- to drop a letter into the postbox- 2. to send by email (loan word)
att runda;1. to round- 2. [att ~ av] to round off
för;for- because
att bereda;1. to prepare- to get ready- 2. to give- cause- 3. [att ~ sig] to prepare oneself- 4. [att ~ väg för] to pave the way för
att uppmärksamma;1. to draw someone's attention to sth.- 2. to notice
arbetslös;unemployed
en yta;a surface
att skratta;to laugh
att underlätta;to facilitate- to make easy (easier)
att föreligga;1. to be available- 2. to be- to exist- to arise- 3. to be on the agenda of a meeting
en tillämpning;an application (practical- a theory or a method)
att garantera;to guarantee (loan word)
en jakt;1. a chase- a hunt- 2. [~marker] hunting grounds
att utse;to appoint- to elect- to choose
en blick;1. a look- a glance- 2. [att sänka ~en] to look downwards
en svenska;(a) Swedish (language)
en konferens;1. a conference- 2. [lärar~] teachers' meeting- staff meeting (loan word)
att framföra;1. to convey- deliver- give- 2. to present- produce- put on- 3. to perform- sing- play
runt;1. round- 2. [att låta något gå ~] to pass something round- 3. [att lova ~ och hålla tunt] to make empty promises- 4. [~ omkring] round about
specifik;specific (loan word)
en varg;1. a wolf- 2. [en ~flock] a pack of wolves
en kanal;a channel (loan word)
klok;1. clever- intelligent- 2. (slang) [du är inte ~!] you are crazy! you are out of your mind!
en regim;a regime (loan word)
att utöva;1. to practice (a profession- a trade)- 2. to practice (a religion- a hobby etc)- 3. to wield- to exercise (e.g. power- influence)
att fokusera;to focus- to concentrate- to adjust an optical instrument (loan word)
ett belopp;an amount- a sum (of money)
en bransch;1. a branch (of industry- trade etc)- 2. [data~n- bil~en- reklam~en] the IT industry- the car industry- the advertising industry (loan word)
en sekund;a second (loan word)
en reda;1. an order- a clarity- 2. [att få ~ på] a) to find out- to get to know- to learn- b) to get hold of- 3. [att ta ~ på] to find out- to get information about sth.
torde;will- would (formal)
färdig;1. ready- finished- complete- 2. [klara- ~a- gå!] ready- steady- go! (used in sporting competitions)
att ordna;to order- to sort- to put in order
att bekämpa;1. to combat- to fight (against something)
synd;1. sorry- shame- pity- 2. [det är ~ att han inte kan komma] it's a shame/pity he can't come- 3. [att tycka ~ om ngn.] to feel sorry for s.o.
genast;1. at once- straight away- immediately- 2. [gör det då ~] then do it straight away
en sjö;1. a lake- 2. a sea- ocean- 3. a wave- 4. a pool of water
så småningom;1. gradually- slowly but surely- little by little- 2. eventually- at last
logisk;logical (loan word)
inom ramen för;within the framework of- within the scope of
ett kaffe;1. a coffee- 2. [en kopp starkt ~] a cup of strong coffee
att förstärka;to strengthen- to amplify- to fortify
en euro;a Euro
en mänsklighet;1. a humanity- acting humanely towards other people- 2. (a) mankind- humanity (i.e. all the people on the planet)
nere;1. down (location- position)- 2. down- depressed
att betona;to stress- to accentuate (not a loan word)
en expert;an expert (loan word)
en fildelning;a filesharing- a downloading
en olja;an oil
att förbereda;1. to prepare sth.- 2. [att ~ sig på något] to prepare oneself for sth.- to get ready for sth.
ett förfarande;a procedure (not a loan word)
en trygghet;1. a safety- a security- 2. a confidence- an assurance- 3. a feeling of being free of worries- unthreatened
en konstnär;a painter- an artist (not: 'en målare')
i själva verket;as a matter of fact
norsk;Norwegian
i fråga;in question
en stjärna;a star
ett tyg;a fabric- a cloth- a material
en likhet;1. a resemblance- a likeness- a similarity- 2. [i ~ med] like- in conformity with
ett ljud;a sound
att beställa;to order (sth)- as in a restaurant- or from a company
en synd;1. a sin- 2. a pity- a shame- 3. [det är ~ att han inte kan komma] it's a pity/shame he can't come
ett papper;1. a (piece of) paper- 2. [present~] wrapping paper (for gifts)
en fara;1. a danger- 2. [ingen ~!] no problem!
definitivt;definitely (loan word)
en omfattning;1. an extent- a scope- 2. a range- 3. a size- dimensions- proportions- 4. a scale- 5. [skadornas ~] the scale of the injuries- the extent of the damage
att bevara;1. to keep- conserve- to maintain- to preserve- 2. [att ~ en hemlighet] to keep a secret- 3. to protect
att våga;to dare
ett fenomen;a phenomenon (loan word)
en riktlinje;a guideline
en profet;a prophet (loan word)
ett decennium;a decade (loan word from Latin)
i stort sett;1. almost- 2. on the whole- generally speaking
en inriktning;1. a focus- an emphasis- a direction (of your school studies)- 2. an alignment
att misslyckas;to fail- to not succeed
en ram;a frame
att finansiera;to finance (loan word)
ett hotell;a hotel (loan word)
en kristendom;a Christianity (loan word)
dess;1. [till ~] until then- by then- by that time- 2. [sedan ~] since then- 3. [innan ~] before then- by that time- by then
i förhållande till;in relation to- relative to (does not contain a loan word)
att klaga;to complain
att skatta;1. to estimate- 2. [att ~ sig lycklig] to consider oneself lucky- to count oneself lucky- 3. to plunder- to rob- 4. to pay taxes
att upprätta;1. to set up- to establish- to create- 2. to draw up (e.g. a will)- to make- to draw- to prepare
förhoppningsvis;hopefully
att gynna;1. to favour- to benefit- 2. to support- to further- to promote- to encourage- 3. [~d av ödet] favoured by fortune
ifall;if- in case
oberoende;1. independent- 2. (with "av")- irrespective
att leka;to play (as children play)
ett märke;1. a brand- a make- 2. [att lägga ~ till] to notice sth.- to pay attention to sth.- 3. a mark- a trace- a sign- 4. a badge- 5. a label- a tag
en snö;a snow
att upprepa;1. to repeat- to reiterate- to echo- to renew- 2. [att ~ sig] to recur- to happen again- to repeat itself
en undervisning;1. a lesson (in school)- 2. (a) tuition- (a) teaching- 3. (an) instruction- an education
ett kött;1. a meat- 2. [~ och blod] flesh and blood- 3. [nöt~] beef- 4. [fläsk~] pork- 5. [kalv~] veal
att förutsätta;1. to presume- 2. to take for granted
en replik;a reply (loan word)
en koppling;1. a clutch (in a car)- 2. a connection (electric- on the phone)- 3. a coupling- bringing two things together
ett snitt;1. a cut- an incision- 2. a sewing pattern- 3. an edge (of a book)- 4. [i ~] on average
en engelska;1. an English (language)- 2. an Englishwoman- 3. [vår lärare i ~] our English teacher
överhuvudtaget;at all- on the whole- absolutely- altogether- generally
en sysselsättning;1. an occupation (as in job)- 2. [full ~] full employment (i.e. no unemployment in a given population)
ett besked;an answer- information (often of an official nature- confirming something- e.g. a death)
att lätta;1. to lighten (a burden)- 2. to ease- to relieve- to alleviate sth.- 3. to become lighter- to lose weight- to be relieved
oavsett;regardless of
ett avseende;1. a respect- regard- consideration- 2. a reference- 3. [i många ~n] in many respects- 4. [att fästa ~ vid ngt] to take notice of- to take sth. into account- to pay attention to
okänd;unknown
katolsk;Catholic
att ropa;to shout- to call
en läsning;1. a reading- 2. being able to read
blå;1. blue- 2. [~tt blod] blue blood- 3. [~a ögon] blue eyes
en fotboll;a football
en flykting;1. a refugee- 2. a fugitive- 3. [ensamkommande ~barn] unaccompanied minor(s)
att koppla;1. to connect- put through- couple- tie up- 2. to catch on (informal)- 3. [att ~ av] to relax
att forma;1. to form- to shape- to mould- 2. to build- to make- 3. to express
en bibel;a Bible
förresten;by the way- incidentally
att samarbeta;to work together- to co-operate
att slänga;1. to sling- to throw sth.- 2. to swing- dangle
ett ögonblick;a moment (as short as the blink of an eye)
att neka;1. to say no to something- 3. to deny- to refuse
extra;extra
en arbetsplats;a workplace
en lokal;1. a place- premises- 2. a room- a hall- 3. a habitat (zoology)- 4. [biblioteket har sina ~er i skolan] the library is located in the school
en summa;a sum
tillräcklig;1. enough- sufficient- 2. [att ha ~ med tid- mat etc] to have enough time- food etc.
äcklig;gross- disgusting
att tona;1. to sound- to ring- 2. to tint (hair)- to give colour to sth.
en tendens;a tendency- a trend (loan word)
på så sätt;in this way
en restaurang;1. a restaurant- 2. [att gå ut på ~] to go to a restaurant- to go out for a meal (loan word)
att återstå;1. to remain- to be left- 2. [det ~r att se] it remains to be seen
att vila;1. to rest- 2. [~ i fred] rest in peace
extremt;extremely (loan word)
en egendom;1. a possession- a thing you own- 2. a property- real estate- 3. [fast ~] real property- 4. [~ egendom] personal property
ett köp;1. a purchase- 2. [det följer med på ~et] you get that free with the product
en välfärd;1. a welfare- 2. [ett ~ssamhälle] a welfare state (where the weakest and sickest receive financial support from the state)
att sticka;1. to go- to leave (informal)- 2. [att ~ ut] to stick out- to stand out- 3. to sting- to prick- 4. to stick- to pierce- to thrust- 5. to knit- to stitch- to quilt
att mäta;1. to measure- to calculate- 2. [han kan inte ~ sig med] he cannot be compared with
ett helvete;1. a hell- 2. [dra åt ~] go to hell!
tuff;tough (loan word)
ett jordbruk;an agriculture
ett sällskap;1. a company (of another person)- 2. a society- a club
att medverka;1. to take part in- to be involved in- 2. to assist in- to contribute to- 3. to perform in- 4. to aid and abet (legal term)
en arbetstagare;a worker (someone who "takes work")
att fånga;to catch- to capture
att blogga;to blog (loan word)
en terrorism;a terrorism (loan word)
en fest;1. a party- 2. a celebration- 3. [hon såg fram emot ~en] she was looking forward to the party- 4. [jul~] Christmas party- celebration
ordentligt;1. properly- 2. [att ta i ~] to make a big effort- to work really hard
en väst;(a) west
en sajt;an internet site (loan word)
att prova;to try- to sample (i.e. food- clothes)
att prägla;1. to mint- to produce coins- 2. to characterize- 3. to make an impression
dum;stupid
en övning;1. a training- a practice (sports- musical instrument)- 2. a drill- an exercise- 3. [~ ger färdighet] practice makes perfect
jobbig;1. strenuous- hard work- tough (of a task- day etc.)- 2. tiring- tiresome- annoying (of a person)
att måla;to paint
ett vin;1. a wine- 2. [att slå ~ i glasen] to fill the glasses with wine- to pour wine into the glasses
främmande;1. strange- unknown- unfamiliar- 2. foreign- alien- 3. other people’s- 4. [på ett ~ språk] in a foreign language
att uppmuntra;to encourage- to cheer s.o. up- to spur s.o. on
ett genomförande;an implementation- a realization- execution (of a project- plan etc.)
konservativ;conservative (loan word)
en attityd;an attitude (loan word)
en föreställning;1. an idea- a picture- a notion (of sth.)- 2. a performance- show
än;than (comparison)
att lyda;1. to obey- to comply with- 2. to read- to go (of a text)- 3. [att ~ under] to be under the control of- 4. [den borde alltså ~ som följer] it should therefore read as follows
juridisk;1. juridicial- legal- 2. jurisprudential (loan word)
en variant;a variant (loan word)
en höjd;1. a height- 2. [på sin ~] at best- at the most
en utrikesminister;a foreign minister- a minister for foreign affairs
en gäst;a guest
en hustru;1. a wife (old-fashioned word for wife)- 2. [att ha ~ och barn] to have a wife and children
en vandring;1. a hike- a walking tour- 2. a migration
att kontakta;to contact (loan word)
en mil;a Swedish mile (equivalent to ten kilometres or six English miles)
kort;short
eventuellt;possibly- potentially
